program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Support and Related Programsa,2022,4821.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2022,2022,2022,114,3
USDA Farm Programs,Support and Related Programsa,2023,4240.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2023,2023,2023,114,4
USDA Farm Programs,Support and Related Programsa,2024,3519.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2024,2024,2024,114,5
USDA Farm Programs,Support and Related Programsa,2025,3984.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,114,6
USDA Farm Programs,Support and Related Programsa,2026,5974.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,114,7
USDA Farm Programs,Support and Related Programsa,2027,10008.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,114,8
USDA Farm Programs,Support and Related Programsa,2028,11646.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,114,9
USDA Farm Programs,Support and Related Programsa,2029,11975.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,114,10
USDA Farm Programs,Support and Related Programsa,2030,10355.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,114,11
USDA Farm Programs,Support and Related Programsa,2031,9075.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,114,12
USDA Farm Programs,Support and Related Programsa,2032,8550.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,114,13
USDA Farm Programs,Support and Related Programsa,2033,8490.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2033,2033,2033,114,14
USDA Farm Programs,CCC Conservation Programsb,2022,1808.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2022,2022,2022,116,3
USDA Farm Programs,CCC Conservation Programsb,2023,2088.0,Millions of dollars,51317-2023-05-usda.xlsx,USDA_05-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2023,2023,2023,116,4
