program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Support and Related Programsa,2025,3695.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,107,3
USDA Farm Programs,Support and Related Programsa,2026,5798.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,107,4
USDA Farm Programs,Support and Related Programsa,2027,21433.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,107,5
USDA Farm Programs,Support and Related Programsa,2028,20622.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,107,6
USDA Farm Programs,Support and Related Programsa,2029,17260.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,107,7
USDA Farm Programs,Support and Related Programsa,2030,14246.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,107,8
USDA Farm Programs,Support and Related Programsa,2031,13523.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,107,9
USDA Farm Programs,Support and Related Programsa,2032,13635.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,107,10
USDA Farm Programs,Support and Related Programsa,2033,14327.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2033,2033,2033,107,11
USDA Farm Programs,Support and Related Programsa,2034,14721.0,Millions of dollars,51317-2026-02-usda.xlsx,USDA Baseline_02-2026,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2034,2034,2034,107,12
