program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Support and Related Programsa,2024,4093.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2024,2024,2024,108,3
USDA Farm Programs,Support and Related Programsa,2025,3399.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,108,4
USDA Farm Programs,Support and Related Programsa,2026,6349.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,108,5
USDA Farm Programs,Support and Related Programsa,2027,9526.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,108,6
USDA Farm Programs,Support and Related Programsa,2028,10321.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,108,7
USDA Farm Programs,Support and Related Programsa,2029,10295.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,108,8
USDA Farm Programs,Support and Related Programsa,2030,7692.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,108,9
USDA Farm Programs,Support and Related Programsa,2031,7085.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,108,10
USDA Farm Programs,Support and Related Programsa,2032,7330.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,108,11
USDA Farm Programs,Support and Related Programsa,2033,7721.0,Millions of dollars,51317-2025-01-usda.xlsx,USDA Baseline_01-2025,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2033,2033,2033,108,12
